向向4586,昆明,完美的科幻史诗,5.0,2019-02-06 00:00:00,1
~,,咳咳，挺好的,5.0,2019-02-06 00:00:00,
天穹,旬阳县,整部电影无论是剧情还是画面都非常的赞，是国内近几年少有的优秀科幻电影。,5.0,2019-02-05 23:59:58,
太2真人374,崇州,人类的勇敢与坚毅……2500年的漫长征程,5.0,2019-02-05 23:59:58,
茜茜i,南通,不好看，看得我想睡觉，说实话是冲着吴京去的，想不到太让人失望了，超级烂的片子，我还是第一次看电影看得想睡觉的片子，无语了。,1.0,2019-02-05 23:59:54,
清七,成都,硬科幻有bug，总体还可以,4.0,2019-02-05 23:59:54,
blk345354275,天津,比战狼二厉害,5.0,2019-02-05 23:59:53,
看看几点了该睡觉了,杭州,太精彩了!从头到尾都戳我的泪点!,5.0,2019-02-05 23:59:53,2
宋金国love,北京,很好的科幻电影,4.5,2019-02-05 23:59:52,1
rwh1580839,深圳,作为国产科幻开山之作，个人很满意。欧美科幻电影从2000年到现在的我基本都看过，除了过于小众的。觉得流浪地球在我看过的科幻中处于中上水平。当然有些镜头还是不够好，有些情节设计的也容易找出破绽，万达影院放映到一半还出现了影片画面声音卡顿，但是这些不妨碍这是一部出色的国产科幻电影。,5.0,2019-02-05 23:59:51,
GDV320515474,遵义,比很多小鲜肉组合拍出来的电影好太多。 中国电影终于起步了,5.0,2019-02-05 23:59:51,1
粽子,合肥,国产很不错了 鼓励一下,5.0,2019-02-05 23:59:49,1
A  Michael Scofield(招代理),深圳,最震撼的国产电影，值得一看,5.0,2019-02-05 23:59:48,1
🇨🇳,深圳,中国的科幻鼻祖,5.0,2019-02-05 23:59:46,
黎星1993,高安,可以可以，喜欢吹口香糖的妹子,4.0,2019-02-05 23:59:46,1
驴总驾到,深圳,真的很棒，最后没彩蛋，等半天,5.0,2019-02-05 23:59:45,2
TuanGou.cn,常州,伪科幻，让中国人拍硬科幻还是太违和了,1.0,2019-02-05 23:59:43,1
你心中的超人,余姚,难看的电影，睡了一半的人,0.5,2019-02-05 23:59:42,
音岳--Gaga,宿州,真的很震撼，最后很多救援车掉头的时候，眼泪就下来了,5.0,2019-02-05 23:59:42,1
浩子shark,济南,主要评在特效上，还算过得去，也挺感动，说是中国科幻片的起步，推荐去看,4.5,2019-02-05 23:59:41,1
云中岳,泸州,好看不解释！自己看～～～,5.0,2019-02-05 23:59:40,
yuji345231361,哈尔滨,稚嫩的哥哥刘启保护着妹妹朵朵对抗惊天在灾难，兄妹俩共同面对，这里想起了我的一大遗憾，但剧情真的很感动！刘启父亲为了保护儿子和地球牺牲自己，吴京又一次展现了一个正派英雄，顶天立地男子汉的作风！剧情很启发，启发人类思考面对毁灭地球的天灾该何去何从，同时也映射了生活中的每一个人都活在希望与绝望的不断重复的过程之中。很好的电影，推荐！,5.0,2019-02-05 23:59:38,
东东,北京,中国电影可以拍成这样真的特别棒！牛逼👍完全超出我的期盼。,5.0,2019-02-05 23:59:37,1
香蕉的色彩很鲜艳,广安,差评呀！在这种时候感情还这么重真的无语了，我一人观点片面，，，,2.5,2019-02-05 23:59:37,
TenzinPHunTsok,西宁,不能再多了再多就完了,3.5,2019-02-05 23:59:37,
哆啦A梦,长沙,说实话还行，特效方面不错，主要是有几部份的剧情属实尴尬,5.0,2019-02-05 23:59:31,
Ooooooooooo.姑爹,贵阳,很不错 也许有一天地球会这样 我也会义无反顾的冲到第一位吧,5.0,2019-02-05 23:59:29,1
小思,北京,还是不错的ꉂ ೭(˵¯̴͒ꇴ¯̴͒˵)౨”，推荐去看看！！！,4.5,2019-02-05 23:59:28,
pjQ841028474,衡阳,画面非常劲爆。满意。支持国产科幻。,5.0,2019-02-05 23:59:26,1
Zql406017176,云浮,给八分，国产科幻片还有很大的进步空间。确实电影本身的质量很高，但是说是国产科幻片的里程碑，感觉还差了一点。电影后面还是挺感人的，也让我产生了共鸣。也很震撼。,4.0,2019-02-05 23:59:24,
sorinony,杭州,这又是一部现象级的国产电影，不可否认它跟好莱坞顶级科幻大片还有很长的距离，但是证明了我们不止能拍婆媳争斗 乡村爱情 消费情怀也是可以拍出来“硬”科幻片的，加油中国电影，加油中国,5.0,2019-02-05 23:59:23,1
seek,崇州,活着，就有希望,4.5,2019-02-05 23:59:23,1
倪,河源,中国拍的电影越来越强了,5.0,2019-02-05 23:59:22,1
迷茫的追梦者,南宁,毋庸置疑的国产新科幻,5.0,2019-02-05 23:59:22,
Ray,厦门,特效还可以噢，只是有点不习惯或者不喜欢吴京的演技。。很不自然,4.5,2019-02-05 23:59:22,
孙氏足艺堂,北京,看完抑郁了  咋办(・o・)  不是杞人忧天  说不出来的蓝瘦,5.0,2019-02-05 23:59:21,1
林东来,沈阳,国内也可以拍出这种级别的硬科幻大作！好看好看！,4.5,2019-02-05 23:59:21,
帝＊,厦门,流浪地球是我自星战8之后，又一部看睡着的电影...怎么说呢，就当支持国产特效吧( •̥́ ˍ •̀ू ),3.5,2019-02-05 23:59:20,1
CZ、,郑州,演员、剧情细节、逻辑，还需要进步,1.5,2019-02-05 23:59:19,
csqxs13637076077,合肥,真的值得看的一部国产科幻电影,5.0,2019-02-05 23:59:18,
leesin8023,长沙,整体来说还是很不错的，第一部国产科幻，支持一下,4.0,2019-02-05 23:59:18,1
六末七初,,你说你会，你确实也变成了星星。但我要的是父亲。,5.0,2019-02-05 23:59:16,
阿汤哥,长沙,作为国内第一部真正意义的科幻片，已经很不错了,4.0,2019-02-05 23:59:15,1
_qq43n1332520983,乐平,就是这里的设施不好,4.5,2019-02-05 23:59:13,
PMF64869931,黔西南,好看，特效非常厉害,5.0,2019-02-05 23:59:12,
GOW425078853,丽江,汽配城特效，五毛剧情,0.5,2019-02-05 23:59:11,
ksF665703603,西宁,为什么木星没爆炸,4.0,2019-02-05 23:59:11,
姚靖寰,益阳,有那么一点大片的感觉，只是故事深度稍显不够，最后的拯救计划感觉有点突兀。国产电影，加油！！！,5.0,2019-02-05 23:59:10,
Jdm13883114310,重庆,怎么说，中国第一部科幻巨作，虽然有很多地方有bug，但是绝对是中国科幻巨作的先锋，有好莱坞的感觉，就是有些东西太bug了。,4.0,2019-02-05 23:59:10,
XoB793739117,菏泽,影片前半段交代人物关系，角色性格，可以给7.5分，后面情节一爆发可以给9.5分综合评定8.5分，因为我是大刘粉丝给1分，国产自强再给一分，可惜只能评10分,5.0,2019-02-05 23:59:10,1
GG,东莞,好看，结尾时挺感人的！,5.0,2019-02-05 23:59:09,2
王博远,西安,不后悔  ，，，，。,5.0,2019-02-05 23:59:09,1
佧佧 角角 沟沟,惠州,挺好看的 挺震撼的,5.0,2019-02-05 23:59:09,1
辉少,佛山,好看，值得一看,5.0,2019-02-05 23:59:08,
Ást Master,郑州,剧情一般 吴京为什么不是主演 刘启演技一般,2.5,2019-02-05 23:59:07,1
嘿 . 姚慕寒丶💯,西安,救援场面再恢宏一点，就完美了🤪,4.5,2019-02-05 23:59:07,1
EFR266870610,江都,故事代入感很强，电影内容跌宕起伏，特效场景恢弘大气，真的值得推荐。,5.0,2019-02-05 23:59:07,
殄,广安,开车场景再真实一点就好了,4.5,2019-02-05 23:59:06,1
刘世宇 15211322838,常德,北京第三区交通委提醒您: 道路千万条，安全第一条。开车不规范，亲人两行泪。北京第三区交通委提醒您: 道路千万条，安全第一条。开车不规范，亲人两行泪。北京第三区交通委提醒您: 道路千万条，安全第一条。开车不规范，亲人两行泪。北京第三区交通委提醒您: 道路千万条，安全第一条。开车不规范，亲人两行泪。北京第三区交通委提醒您: 道路千万条，安全第一条。开车不规范，亲人两行泪。北京第三区交通委提醒您: 道路千万条，安全第一条。开车不规范，亲人两行泪。北京第三区交通委提醒您: 道路千万条，安全第一条。开车不规范，亲人两行泪。,5.0,2019-02-05 23:59:06,1
林,东莞,特效有点模糊，不过能拍出来就有进步，剧情简单，0演员没有独特的吸引点,2.5,2019-02-05 23:59:05,
lFb464883789,丹阳,好片推荐给大家，超炫！,5.0,2019-02-05 23:59:04,1
贺兰梓藤,北京,终于有了部让我想二刷的国产科幻电影，其实可能还没有那么完美，但我仍想给它最多的赞赏。不枉我哭湿了一整张面巾纸。希望二千五百年后当贝加尔湖重新化冰为水时依旧美丽如初。ps：几个路人角色的隐喻很有点意思：老毛子永远是我们忠诚值得信任的好伙伴；日本队员在救援失败后选择了自杀……,4.5,2019-02-05 23:59:03,2
树叶753,酒泉,爽，特爽！写的人厉害，末日来临把地球搬走。能拍的就更厉害了，特效太好了，不同于以往借着末日出演求生游戏，而是实打实的高科技求生！感情戏戏太多能删掉一部分就更好了！？,4.5,2019-02-05 23:59:02,2
李润洲,合肥,特效很好，剧情也还可以，但是人物形象和台词有点尬,4.0,2019-02-05 23:58:59,
🦋,银川,很不错 还是值得看的,5.0,2019-02-05 23:58:59,
がよい 🍃,兰州,好看超级好真的效果非常棒,5.0,2019-02-05 23:58:58,1
L.L.,东莞,太好看了，科幻巨作，中国拍的，不敢相信。,5.0,2019-02-05 23:58:57,1
御享家_张先生,南京,流浪地球就是中国科幻电影里程碑，不接受反驳，宏大，极致，效果绝对强过许多国外巨制了，希望中国电影蒸蒸日上，给我们带来更好的作品，刘老板的科幻，无敌,5.0,2019-02-05 23:58:57,
Aotiy,合川,太震撼 太宏大、看完我只说了四个字：牛逼 牛逼,5.0,2019-02-05 23:58:57,1
丸鲸啊,铜陵,一个字爽！虽然会有一些逻辑和设定的小bug但是真的值回票价！,5.0,2019-02-05 23:58:55,
陆中天,西安,很不错的电影，人性在灾难面前前所未有的展现,5.0,2019-02-05 23:58:54,
Wangyg918,攀枝花,不错，是中国最好的科幻电影,5.0,2019-02-05 23:58:54,
公子达人,广州,好评 特赞👍,5.0,2019-02-05 23:58:51,
BAEKUN,河源,刘启真的太帅了！！！爱了！！！我可以！！！,5.0,2019-02-05 23:58:49,2
