娟子,天津,挺好的，主要是儿子喜欢,3.5,2019-02-06 22:20:00,2
赵鹏,佛山,元年就是元年,5.0,2019-02-06 22:20:00,1
德胜,,……还ok啦，特效还可以,4.5,2019-02-06 22:20:00,1
T.c.d.f,东莞,满分，很多场景做的很到位，而且对于我们也有深刻的启发，如果能源耗尽了，我们又拿什么来拯救我们自己？,5.0,2019-02-06 22:20:00,2
YhH568671629,西安,非常好看的科幻片， 地球即将毀灭，人类拯救地球的感人故事！,4.0,2019-02-06 22:20:00,
A xuan,长沙,超赞超赞超赞,5.0,2019-02-06 22:20:00,
Irf695466189,北京,影片感人  孩子超级喜欢看呢,5.0,2019-02-06 22:20:00,
成年,大连,剧本结构非常工整，影片中的特效和情感在导演的处理下达到了一种平衡。不得不说作为中国的首部硬科幻，在视效奇观上做得非常好，很多细节的处理非常成熟，完全没有新手上路的青涩感稚嫩感。,5.0,2019-02-06 22:20:00,
FF亚亚,许昌,反手就是一个赞!!,5.0,2019-02-06 22:19:58,
爱你的人,万宁,十分刺激，很好看,5.0,2019-02-06 22:19:58,
吉祥平安818,泉州,不错不错，真情演绎,5.0,2019-02-06 22:19:58,1
落葉H随枫,启东,很赞的一部影片。,5.0,2019-02-06 22:19:56,1
点火器,南通,国产科幻电影，10分鼓励,5.0,2019-02-06 22:19:54,
雷凯,北京,对于国产科幻片，我感觉确实是用心了，特效上有很大提升，说明我们是可以做出来好特效的，但是在细节上还是有些欠缺。故事就不说了，感觉后边有点扯淡了，可能因为国内审核原因，总之故事太过感性，放弃一切放手一搏，把人类最后的可能都堵上去，总觉得有点扯淡。如果是个人放手一搏，还能理解，整个领导层都同意默许，就有点对人类未来不负责任了。而且，空间站炸了，人类文明种子的备份不也没了。地球生态都那个**了，还能恢复吗。最后在吐槽下，流浪地球都拍了，三体在哪里？？？,3.5,2019-02-06 22:19:54,1
A-Lin 🍀,东莞,朵朵廢話太多～,2.5,2019-02-06 22:19:54,2
气静神宁,银川,非常好看，没想到我们也能拍出让内心震撼的科幻电影。,5.0,2019-02-06 22:19:52,1
请叫我梁少,呼和浩特,完美的不能在完美了。,5.0,2019-02-06 22:19:51,1
浩,佛山,可惜为了迎合贺岁档改了剧情，其他方面特效简直提升几个档次,4.5,2019-02-06 22:19:50,
🎈Yomikababy,上海,很好看 感觉很震撼,4.5,2019-02-06 22:19:47,
Shinkai_,重庆,等一个2019中国科幻元年成真👌🏻,4.0,2019-02-06 22:19:47,1
虫虫,益阳,出现差评是有原因的，因为中间有些片段真的无聊，影院里都有人无聊得玩起了王者、刷起了朋友圈，但是情感前段真的很感人……吴京牺牲的片段我终于理解到朋友说“看科幻片看哭”,4.0,2019-02-06 22:19:46,2
天地无用,西安,震撼，让人回想连篇。,5.0,2019-02-06 22:19:46,
