毛巾专家秀,济宁,很震撼，国产片有大的进步，完全媲美好来乌,4.5,2019-02-10 12:13:59,2
蔚蔚,哈尔滨,非常好看，希望电影里面的事情永远不要发生。,5.0,2019-02-10 12:13:58,2
西瓜,同安,我们的第一部国产科幻片，相比外国的科幻片可能存在一定差距，但这次拒绝黑子，我们是最棒的！！！之前看星战的时候、星际迷航的时候就在想，什么时候中国人能成为影片主人公，今天终于见证了！！！超震撼！！！！为祖国骄傲！！！！！,5.0,2019-02-10 12:13:55,
業,长寿,为中华之崛起而读书,5.0,2019-02-10 12:13:54,
SUPER老公,安阳,当灾难来临之际万众一心，没有什么勾心斗角,5.0,2019-02-10 12:13:52,
陀飞轮,重庆,特效非常好，剧情也不错，良心剧组，这样的电影才是中国电影的未来,5.0,2019-02-10 12:13:52,1
scream尘骸,阜阳,亲人两行泪。,5.0,2019-02-10 12:13:50,
浅忆💓,晋城,炒鸡棒棒的电影呐,5.0,2019-02-10 12:13:46,2
SwAY,上海,好评！呜呜呜,5.0,2019-02-10 12:13:44,
cTg526701181,海东,太好看了，为国产科幻片的发展带了个好头，丝毫不比国外的差，力推,5.0,2019-02-10 12:13:41,
M .R执,长春,很赞，很想再次观看,5.0,2019-02-10 12:13:40,1
hero3555,长垣,中国科幻电影崛起之作，🇨🇳🇨🇳🇨🇳，特效不输于好莱坞，nb,5.0,2019-02-10 12:13:33,
DJd402806809,沈阳,别问，问就吹爆,5.0,2019-02-10 12:13:30,
dKH638294496,启东,好看，感动！！！！！,5.0,2019-02-10 12:13:29,2
LTm603653232,长寿,作为中国第一部科幻片，合格,5.0,2019-02-10 12:13:23,
小耳朵de太阳花,深圳,很好看，推荐,5.0,2019-02-10 12:13:21,
- memories ° 易,杭州,好看!!!难得的科幻片赞赞!,5.0,2019-02-10 12:13:13,2
🍀😄微微,宿州,很好看的电影,5.0,2019-02-10 12:13:13,2
PeF411971448,惠阳,堪比好莱坞大片，比外国拍的更真实，值得一看，美中不足是春节观众爆满，早去的观众不按位置坐，引起不愉快的纠纷，希有影院管理工作人员在场引导,4.5,2019-02-10 12:13:12,
AFZ283080822,齐齐哈尔,前期剧情太拖沓，快睡着了,1.0,2019-02-10 12:13:10,
依天问红颜,扬州,中国硬科幻的开山之作，,5.0,2019-02-10 12:13:10,1
政,宁波,很催泪，建议带纸巾,5.0,2019-02-10 12:13:02,2
啾。,深圳,我觉得可以👌,5.0,2019-02-10 12:12:58,
ySu535783246,南宁,支持中国电影，人物的设定都很好，但是前期的剧情有些慢，总体感觉很好,5.0,2019-02-10 12:12:57,
他是信仰、亦会发光*,衡水,好看，良心剧，希望真的流浪地球的时候我不是第一个死的,5.0,2019-02-10 12:12:56,2
