downey陈,南安,国内能拍出这样高水平的科幻片真是太棒了！有故事有特效，实在难得！,5.0,2019-02-08 00:00:00,
人生苦短，及时行乐！,天津,谁说中国没有出色的科幻电影！！！京哥出品，必是精品！！,5.0,2019-02-08 00:00:00,1
杨,德惠市,特别特别特别能,5.0,2019-02-08 00:00:00,1
何事秋风悲画扇,深圳,还不错，希望以后更好…,4.5,2019-02-08 00:00:00,1
不戒拖延症不改名,临沂,全程无尿点。泪目太多次数不清了。不看真的会后悔。不要期待什么网络版，大银幕，立体声才够爽！！！！！！,5.0,2019-02-08 00:00:00,1
微风,江门,作为中国的科幻电影，不得不说，从情节、特效、表演方面来说，是目前为止最好的一部，值得一看！,5.0,2019-02-08 00:00:00,1
@羊,安岳,完美的电影 特效 剧情 演技 全在线,5.0,2019-02-08 00:00:00,1
悲殤乀述裞微笑,东莞,剧情不拖沓，中国科幻片能做到这种水平很不错了，值得去看,4.5,2019-02-08 00:00:00,
苏格拉•张,苏州,动员部分有点牵强，但国产片做到这样必须五星。,5.0,2019-02-07 23:59:59,
GO,重庆,哎呀还是可以,5.0,2019-02-07 23:59:59,
ygo759111830,桐乡,故事编的背景太宏大，整个美国风，英雄拯救🌍，特效做的是不错，情节不咋地。,3.0,2019-02-07 23:59:56,2
NC💮,富阳,吴京从来没让我失望过,5.0,2019-02-07 23:59:54,
GoX939137666,临沂,好看，剧情很燃，画面壮观,5.0,2019-02-07 23:59:54,
一把钥匙,桐乡,不愧是吴导所演，好片,5.0,2019-02-07 23:59:54,
PVH553776740,绵阳,挺好，不想解释，看看就知道,5.0,2019-02-07 23:59:54,
A吴先生811,岳阳,一般一般一般,3.0,2019-02-07 23:59:53,
LONELY茜🔗,海城,真的很好看，有笑点，有泪点，有震撼，每个演员都很棒！全程无尿点，特效也很不错，期待中国越来越多好的科幻电影,5.0,2019-02-07 23:59:51,2
不忘初心！,深圳,巨烂无比，逻辑不通，常识不备，吴京的无规则，无原则，滥勇！,0.5,2019-02-07 23:59:50,
宝贝猪宝贝,绵竹,很有教育意思啊,4.5,2019-02-07 23:59:49,1
忧郁的犹豫得鱿鱼,大石桥,影片是好影片，电影院真不是好电影院，屏幕小，音响低，特别开始都7-8分钟了灯还没关，最后还是有人出去告诉才关。然后前面总有个头在晃。开始时冷气开的冻人，要结束时又关了，热出一身汗，出去得感冒.没人管理，打电话，唠嗑，最可恨后排俩嗑瓜子的，简直了，下辈子都不会去了，太影响体验了,4.5,2019-02-07 23:59:49,
潇水亦寒,黄山,剧情衔接很好，特效绝对的到位，全程都是特效 耗资3亿 果然没让观众失望,5.0,2019-02-07 23:59:49,
苏堤上的海人,宁波,真的，完美了,5.0,2019-02-07 23:59:48,
沐年之夏。,大庆,非常喜欢，值得一看,5.0,2019-02-07 23:59:48,1
qSk13911057120,北京,太好看了，这是我长到50多岁，看到的中国电影最棒的，我们也是做电影的，一定像他们学习,5.0,2019-02-07 23:59:47,
灵魂伴侣，,大理,特效不错，国产科幻片又一大提升！,4.5,2019-02-07 23:59:47,1
世态VS炎凉,贵阳,你看夜空的花，多美丽多幻动，多清晰多感动，不曾熄灭的花，它一直在转动，我们手拉着手，奔向最初的梦绽放着笑容，看到我们一起奋斗的战友。,3.5,2019-02-07 23:59:45,
laokuge,武汉,付了4D的钱   结果看了场3D   坑了！不过片子还是不错的！,1.0,2019-02-07 23:59:45,1
a 隔壁家老杨,巴中,真心最难看的一部电影,0.5,2019-02-07 23:59:45,
7,台州,史师巨作 没有话能形容的好 真的棒 非常nice超级期待流浪地球2,5.0,2019-02-07 23:59:45,1
