侏罗纪的老妖,阿克苏,爽！果断要二刷！好多细节来不及反应，墙裂！推荐IMAX巨幕，爽度翻倍！,5.0,2019-02-05 20:25:00,2
gfe743018800,杭州,当太阳系毁灭，地球开始流浪，人类又将如何？原著刘慈欣，发人深省的影片。莫名有种危机感…生活在这个有太阳、空气和水的星球是多么幸福的事！,4.5,2019-02-05 20:24:59,
缘,中山,我喜欢吴京的电影🎬！,5.0,2019-02-05 20:24:57,
YSC516123798,隆昌市,很棒，想象力非常不错。,4.5,2019-02-05 20:24:55,
Mr Zhang,合肥,点难得国产科幻片能拍这么好，真心难得,5.0,2019-02-05 20:24:52,
lisoien,淮安,超出预期，国产科幻里程碑，剧情不拖沓，良心电影值得一看。,5.0,2019-02-05 20:24:48,1
QqH20644868,海门,不管男女，在里面都那么硬气,4.5,2019-02-05 20:24:46,
jQQ910070172,大连,流浪地球，可以载入中国电影史了，真正意义科幻电影第一步，特效质的飞跃。剧情中规中矩，但是却烘托出人类在太空中的渺小，从希望，到绝望，再到从绝望中与天斗的勇气。当时有种骄傲感，人类虽然渺小，却用智慧延续下去，一个发动机，稳定运行千年，在死寂的宇宙中，让问明得以存在，这就是生命，就算渺小，一然不朽。,5.0,2019-02-05 20:24:43,
李玮,天津,硬科幻扛鼎之作，没有太多的政治因素。编剧情节设置合理，演员也很给力。,5.0,2019-02-05 20:24:40,
念如歌,荆州,剧情优秀，不过特效有待提升，感觉像是3D与2D的混剪😂,4.0,2019-02-05 20:24:40,
情书给你i,南充,国产电影有救了,5.0,2019-02-05 20:24:39,
WWu888371685,郑州,强力推荐！特效好看。,5.0,2019-02-05 20:24:37,
门文子羽,宜昌,以前一直在思考中国特效能否拍出拍刘慈欣的经典作品，这部完全打消了这种疑惑,5.0,2019-02-05 20:24:33,
Yuri.Grimm,,这也太屌了8⃣️,5.0,2019-02-05 20:24:30,1
💕,深圳,听震撼人心的无论是场景还是情景，都深入人心！希望中国电影再多点！支持！,5.0,2019-02-05 20:24:26,2
莫陌,乐山,福到运到✺◟(*◕ω◕)◞✺好看,5.0,2019-02-05 20:24:25,
:-O,沈阳,我家就我一个人喜欢看，赞,5.0,2019-02-05 20:24:24,
吴光533,嵊州,支持国产，很不错,5.0,2019-02-05 20:24:24,1
平生欢,咸阳,好看的出乎预料。虽然本心想打四星半，小演员演技和配乐，还有进步空间，局部情节推进略显仓促，但是，有些膝盖贴地看外国片的人，用匪夷所思的理由给一星，那我必须给五颗星。        如果出于真心，没什么，每个人都有自己的喜好，但是出于私心和商业目的抹黑一部好电影，一部用心之作，真是让人恶心，不吐不快。,5.0,2019-02-05 20:24:24,
一帘幽梦千醉雪,上虞,很棒的电影，中国首屈一指的科幻片,5.0,2019-02-05 20:24:22,
天寒风雪微,哈尔滨,消灭人类暴政，世界需要三体,5.0,2019-02-05 20:24:22,1
Nickel,莆田,满分，中国科幻电影元年。北京第三区交通委提醒您，道路千万条，安全第一条，行车不规范，亲人两行泪,5.0,2019-02-05 20:24:21,1
Huntle,合肥,挺不错的一个题材，家。是我们的一切。,5.0,2019-02-05 20:24:21,
泠姜,长丰县,超级好看啊啊啊！,5.0,2019-02-05 20:24:17,1
顾南歌,衢州,很棒，希望吴京每年能出一部这样哒好片,5.0,2019-02-05 20:24:15,
kcz19860612,赣州,不听声音，以为是好莱坞出品,5.0,2019-02-05 20:24:13,
汉文,丹东,我一向要求很低  但是这辈子以来看过的最烂的片  不想解释,0.5,2019-02-05 20:24:12,1
yu,大连,喜欢这样的主题,5.0,2019-02-05 20:24:07,2
恍浪糊噜,西宁,好看。。，，，，,5.0,2019-02-05 20:24:06,1
韦祥清,深圳,好看,5.0,2019-02-05 20:24:04,
Tiange01,郑州,终于看了一部国产科幻片，真好！,5.0,2019-02-05 20:24:01,
pWc117875789,重庆,了不起的中国电影,5.0,2019-02-05 20:23:59,
WzL861803900,苏州,好看！加油！,4.5,2019-02-05 20:23:58,
Mr.Laugh,成都,10分不解释,5.0,2019-02-05 20:23:58,
lOk890429933,广州,好看，是真的好看，特效可以用震撼两个字来形容！,5.0,2019-02-05 20:23:58,1
月之海73,包头,不错，可怜的地球，看的流泪,5.0,2019-02-05 20:23:57,
牵着你的手走完这一生,苏州,非常好看，特效也不错,5.0,2019-02-05 20:23:44,
fu园园,辽阳,珍惜，特别好看,5.0,2019-02-05 20:23:44,
🎭  ,东莞,情节超级感人。场面宏大，,5.0,2019-02-05 20:23:44,
wsktmg812,遵义,歪果仁对这部科幻电影一直有一个疑问：“为什么地球出现危机了，逃难都要带着地球一起跑呢？应该是造很多飞船跑路才对啊。”中国人说：“不造飞船，造发动机，给地球装上发动机，一起走！一座发动机不够，那就十座，千座，上万座。。。。。。”这样顽固的执念来自于中国人溶于骨血的一样东西——家！故土难离淋漓尽致的体现了中国人对家的执念！,5.0,2019-02-05 20:23:44,
玉隐南楼,武汉,电影很好看，剧情很不错，电影院氛围很棒,5.0,2019-02-05 20:23:43,2
木丶尘埃,南宁,哭湿了一张纸😭总有一天，能够等到冰化为水，能带我们的孩子去贝加尔湖畔钓鱼。希望，是这个时代像钻石一样珍贵的东西。,5.0,2019-02-05 20:23:42,2
deloci,武汉,还行吧，特效还不错，就是感觉地球上用这个推动器地壳马上就散架了。毕竟不是个宇宙飞船。,5.0,2019-02-05 20:23:42,1
oJW819755495,潍坊,这部作品特效很好 不过剧情感觉不好 有点小孩子过家家是的 但是特效的优点完全可以弥补这个剧情的缺点 剧情理性的人可能感觉不好 感性的人会比较喜欢建议看一下 特效真的很厉害,4.5,2019-02-05 20:23:41,
Jna183983934,郑州,很好，总算有一部很好的国产,5.0,2019-02-05 20:23:40,1
临界,永康,当人类生死存亡成为唯一全人类共同面对的问题时，战争显得多么可笑。《流浪地球》作为中国第一部硬科幻电影，它远远超出我的心理预期。当技术、演技、剧情都有了充分保障时，中国[em]e400026[/em]足够拍出一部科幻巨作！这一刻，我又一次为祖国而骄傲。《流浪地球》描述人类在太阳衰变之前迁移地球[em]e400088[/em]至4.2光年外的新家园。在经过木星时因其强大引力而导致2/5的行星发动机故障而做出救援的故事。抛开行星发动机的可行性问题不谈，单看剧情是逻辑可行的，这也是“硬科幻”的魅力所在。期间剧情可称一波三折，最令人感动的片段有35亿人类生命的取舍，刘航天员的自我牺牲前的父子对话，以及来,5.0,2019-02-05 20:23:35,1
菁 💓💋,武汉,好看，吴京演的就是好看,5.0,2019-02-05 20:23:34,
不能再瘦了,鞍山,电影很好看，很吸引眼球，适合全家人去看，对的起十分,5.0,2019-02-05 20:23:33,
UPSIDOWN,上海,其实，我是不同意中国过去没有好的科幻电影的，也许只是缺先进的电脑动画制作技术，且从流浪地球来看，现在我们已经开始拥有了。同时，我也不看好这部电影会成为中国科幻电影的里程碑，因为电影里为我们呈现的如太空站（大到外观小到键盘）或所谓动力推进装置从科幻角度看，在太阳都快爆炸的未来是极其“不堪”的。就科幻的硬核“科学和想象力”来说，影片给我留下两个字的印象:疯狂！而随着故事的深入，我也越来越感觉到，看来也只有中国人的科幻电影才会那么疯狂，正如莫斯所言:要让人类保持理性是多么困难！它所指的，恐怕就是中国人吧！也许，只有当我们真正开始从全人类的视角再来审视影片时，本片所承载的家的情怀才更值得被理性地评价！,4.0,2019-02-05 20:23:32,1
暗夜君王151,阜新,挺好的，值得一看,5.0,2019-02-05 20:23:28,1
快快💫  招代放 接商家需要+,,剧情紧凑不拖拉，全程无尿点。很好看，完美,5.0,2019-02-05 20:23:26,2
A.姜,丹东,全程张着嘴巴看完的，太精彩了忘闭嘴了😄,5.0,2019-02-05 20:23:25,
F,淮北,好看好看真的好看,4.5,2019-02-05 20:23:20,
星意,太原,太惊喜了，没想到，这么高水准，真心好看，中国科幻电影崛起了，我们也有属于自己的大片了！,5.0,2019-02-05 20:23:20,
BsK31599211,河源,很好看！很感动！父爱很伟大！,5.0,2019-02-05 20:23:18,
铥铥铥铥铥铥铥铥,永安,好好看，建议买大厅，看效果好的厅😀,5.0,2019-02-05 20:23:16,
冯世才,吉林,情节紧凑，虽然仍有很多不足，但是瑕不掩瑜，至少把科幻场景做的很棒，人与地球命运紧紧联系在一起，让我全身心投入到流浪地球计划当中。而且还是国产科幻电影里程碑，当之无愧10分。（10分制不代表满分）,5.0,2019-02-05 20:23:16,
杨唧唧,内江,大家一定要耐着性子看到后半部分，精彩的在后面,5.0,2019-02-05 20:23:16,2
羊羽,西安,中国也能拍出这样的科幻电影了！！,5.0,2019-02-05 20:23:16,
COe966035816,西安,我他么吹爆！！！,5.0,2019-02-05 20:23:10,
tyljk,慈溪,好好好哈哈哈哈,4.5,2019-02-05 20:23:04,
且伴我长风万里,淄博,这是给郭帆，大刘的,5.0,2019-02-05 20:23:04,1
无限可能的神大人,东港,流浪地球***吹爆！！！！！！！！！！中国目前最强科幻电影！！！！！！！！！集合所有力量所换来的奇迹！！！！！吹！！！！爆！！！！！！！！！！！绝对值得一看！！！！！！,5.0,2019-02-05 20:23:02,1
庒拾叁,成都,还是支持下吧。,4.0,2019-02-05 20:23:02,
锅锅碗,武汉,特效一流，值得一看,5.0,2019-02-05 20:23:01,
qPF483157537,攀枝花,很好看，而且看完了其实会反思很多东西。,5.0,2019-02-05 20:22:59,
Yvettemm,青岛,今天和妹妹朋友一起带孩子看了这部电影，国产科幻也可以很大气感人，场面恢宏，里面的地名都是中国的，跟那些动不动都是国外地名比起来还挺亲切的😜ོ虽然小煽情但是总体还是不错滴，连六岁小朋友都跟着抹眼泪呢。总之感觉不错👍,5.0,2019-02-05 20:22:54,2
夏末随风･ิ,化州,真心不错，虽然各方面都有所欠缺，但是的确是目前中国难得一见的好作品！强烈推荐,4.5,2019-02-05 20:22:54,1
西瓜霜的爱情（Taylor）,珠海,好看，全程无尿点,5.0,2019-02-05 20:22:53,
小草,重庆,很不错！！！！！,4.5,2019-02-05 20:22:53,2
会闲，,东莞,真的很推荐去看，好好看，很震撼！我后面看得紧张得都开始玩手机，要平复下情绪。感觉应该会有第二部第三部！中国的电影真是越来越好了！！,4.5,2019-02-05 20:22:49,
Dr.Li,博爱,看完贼激动 数次泪目 年度最佳科幻大片绝对的,5.0,2019-02-05 20:22:49,1
